epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,352.055,2.63005,3.37353,0.98793,0.06527,0.23519,0.11701,0.04609,2.6528,4.18777,0.99171,0.00999897,0.00999897,0.00999897
106,358.577,2.78246,3.50568,0.99256,0.06527,0.23519,0.11701,0.04609,2.6528,4.18777,0.99171,0.00999896,0.00999896,0.00999896
107,365.014,2.80737,3.51487,0.98519,0.06527,0.23519,0.11701,0.04609,2.6528,4.18777,0.99171,0.00999895,0.00999895,0.00999895
108,370.194,2.56075,3.54833,0.96799,0.04613,0.15864,0.07388,0.02004,2.70072,4.08968,1.01419,0.00999894,0.00999894,0.00999894
109,373.238,3.12689,3.65917,1.04625,0.04613,0.15864,0.07388,0.02004,2.70072,4.08968,1.01419,0.00999893,0.00999893,0.00999893
110,375.79,2.92932,3.38532,1.06424,0.04613,0.15864,0.07388,0.02004,2.70072,4.08968,1.01419,0.00999892,0.00999892,0.00999892
111,378.79,3.1002,3.69675,1.0257,0.04613,0.15864,0.07388,0.02004,2.70072,4.08968,1.01419,0.00999891,0.00999891,0.00999891
112,382.124,3.29122,3.58436,1.0535,0.0843,0.22963,0.13509,0.0537,2.36929,4.41835,1.0548,0.0099989,0.0099989,0.0099989
113,384.901,2.19553,3.38851,0.96511,0.0843,0.22963,0.13509,0.0537,2.36929,4.41835,1.0548,0.00999889,0.00999889,0.00999889
114,387.938,2.49522,3.36171,0.9726,0.0843,0.22963,0.13509,0.0537,2.36929,4.41835,1.0548,0.00999888,0.00999888,0.00999888
115,391.02,2.53058,3.35962,0.95962,0.0843,0.22963,0.13509,0.0537,2.36929,4.41835,1.0548,0.00999887,0.00999887,0.00999887
116,394.423,2.59659,3.39312,0.97918,0.02593,0.03704,0.03411,0.01238,3.04397,5.04736,1.61449,0.00999886,0.00999886,0.00999886
117,397.416,2.66857,3.26672,0.99964,0.02593,0.03704,0.03411,0.01238,3.04397,5.04736,1.61449,0.00999885,0.00999885,0.00999885
118,400.58,2.75075,3.35391,1.02236,0.02593,0.03704,0.03411,0.01238,3.04397,5.04736,1.61449,0.00999884,0.00999884,0.00999884
119,403.495,2.71061,3.21195,0.9756,0.02593,0.03704,0.03411,0.01238,3.04397,5.04736,1.61449,0.00999883,0.00999883,0.00999883
120,406.7,2.71769,3.40939,1.00091,0.02593,0.03704,0.03411,0.01238,3.17169,5.26785,2.15628,0.00999882,0.00999882,0.00999882
121,410.355,2.0608,3.06637,0.9532,0.02593,0.03704,0.03411,0.01238,3.17169,5.26785,2.15628,0.00999881,0.00999881,0.00999881
122,414.094,2.44255,3.17222,0.97976,0.02593,0.03704,0.03411,0.01238,3.17169,5.26785,2.15628,0.0099988,0.0099988,0.0099988
123,417.481,2.35404,3.25002,0.96599,0.02593,0.03704,0.03411,0.01238,3.17169,5.26785,2.15628,0.00999879,0.00999879,0.00999879
124,420.975,2.46852,3.08418,0.98023,0.43632,0.08322,0.03992,0.02068,2.98513,4.1767,1.52041,0.00999878,0.00999878,0.00999878
125,423.937,2.32559,3.22331,0.95881,0.43632,0.08322,0.03992,0.02068,2.98513,4.1767,1.52041,0.00999877,0.00999877,0.00999877
126,426.839,2.22325,3.35156,0.9777,0.43632,0.08322,0.03992,0.02068,2.98513,4.1767,1.52041,0.00999876,0.00999876,0.00999876
127,429.968,2.34245,3.44785,0.95724,0.43632,0.08322,0.03992,0.02068,2.98513,4.1767,1.52041,0.00999875,0.00999875,0.00999875
128,433.011,2.35458,3.27753,0.93978,0.01285,0.12963,0.09425,0.04335,3.02016,4.26461,1.40541,0.00999874,0.00999874,0.00999874
129,436.284,2.97813,3.32769,0.98799,0.01285,0.12963,0.09425,0.04335,3.02016,4.26461,1.40541,0.00999873,0.00999873,0.00999873
130,439.754,2.86161,3.27436,0.97459,0.01285,0.12963,0.09425,0.04335,3.02016,4.26461,1.40541,0.00999872,0.00999872,0.00999872
131,442.994,2.62101,3.33108,0.97417,0.01285,0.12963,0.09425,0.04335,3.02016,4.26461,1.40541,0.00999871,0.00999871,0.00999871
132,446.219,2.69443,3.30547,0.96726,0.65255,0.07407,0.07346,0.03065,3.18077,4.03414,1.30396,0.0099987,0.0099987,0.0099987
133,449.234,2.37773,2.92875,0.95608,0.65255,0.07407,0.07346,0.03065,3.18077,4.03414,1.30396,0.00999869,0.00999869,0.00999869
134,452.378,2.6641,3.16471,0.97493,0.65255,0.07407,0.07346,0.03065,3.18077,4.03414,1.30396,0.00999868,0.00999868,0.00999868
135,455.441,2.51903,2.92,0.98325,0.65255,0.07407,0.07346,0.03065,3.18077,4.03414,1.30396,0.00999867,0.00999867,0.00999867
136,458.618,2.60675,3.02541,0.97157,0.5899,0.10176,0.11317,0.05855,2.80505,3.65027,1.10624,0.00999866,0.00999866,0.00999866
137,461.846,2.71616,3.07096,0.95982,0.5899,0.10176,0.11317,0.05855,2.80505,3.65027,1.10624,0.00999865,0.00999865,0.00999865
138,464.977,2.66855,3.35902,0.98799,0.5899,0.10176,0.11317,0.05855,2.80505,3.65027,1.10624,0.00999864,0.00999864,0.00999864
